Traceport Meta Category,Traceport Meta Tag,PCS Term,PCS Code,NTEE Code,Definition,NTEE Long Description,NTEE Major Group Letter,NTEE Major Group Letter Description,360Giving Term
,Ethnic and racial group rights,Ethnic and racial group rights,SR040200,R22,"Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific racial or ethnic groups or individuals who have a common national origin. Work to produce equitable outcomes and eliminate structural barriers based on racial, ethnic, or national identity. Use for racial justice.",,R,"Civil Rights, Social Action & Advocacy",
,Indigenous rights,Indigenous rights,SR040201,NEW,"Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of indigenous individuals and communities or distinct social and cultural groups that share collective ancestral ties to the lands and natural resources where they live, occupy, or from which they have been displaced. Includes efforts to revitalize, enhance and strengthen indigenous law and governance structures.",,N,Recreation & Sports,
,Disabled persons' rights,Disabled persons' rights,SR040300,R23,"Work for passage and enforcement of laws or other social measures that protect the rights of people who have physical, mental, developmental or learning disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population.",,R,"Civil Rights, Social Action & Advocacy",
,Women's rights,Women's rights,SR040400,R24,Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of women.,,R,"Civil Rights, Social Action & Advocacy",
,Rights of older adults,Rights of older adults,SR040500,R25,Work for passage and enforcement of laws and other social measures that protect and promote the rights of older adults.,,R,"Civil Rights, Social Action & Advocacy",
,LGBTQIA+ rights,LGBTQIA+ rights,SR040600,R26,"Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, transgender, intersex, queer/questioning, or asexual.",,R,"Civil Rights, Social Action & Advocacy",
,Children's rights,Children's rights,SR040700,R28,Work for passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth (from birth to age 18). Includes changing systems or structures to uphold or advance children’s rights.,,R,"Civil Rights, Social Action & Advocacy",
,Prisoners' rights,Prisoners' rights,SR040800,NEW,Work for the passage and enforcement of laws and other social measures that protect and promote the rights and interests of prisoners of the state.,,N,Recreation & Sports,
,Diversity and intergroup relations,Diversity and intergroup relations,SR050000,R30,"Work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification. Also included is work for increased harmony and understanding between individuals involved in law enforcement and the community at large. For political parties and other political action groups, use Political organizations.",,R,"Civil Rights, Social Action & Advocacy",
,Freedom from violence and torture,Freedom from violence and torture,SR060000,R6D,"Work to support the right to freedom from organized violence, inhuman or degrading treatment or punishment, and torture (the deliberate infliction of severe physical or psychological pain, often by state agents, with the intention of causing suffering). Organized violence may be associated with armed conflict, state oppression, or the failure of a state to ensure the safety of its people, and may include murder, systematic rape, sexual slavery, and forced pregnancy.",,R,"Civil Rights, Social Action & Advocacy",
